#,word,class,english,file name,eka done,dva done,bahu done,notes,ask for (eka),ask for (dva),ask for (bahu)
188,पनस,अकारान्त पुं,jackfruit / jackfruits,panasa,,,,,Draw: one jackfruit.,"Draw: exactly two jackfruits, side by side.",Draw: a group of three to five jackfruits.
189,खर्जूर,अकारान्त पुं,date / dates,kharjuura,,,,,Draw: one date.,"Draw: exactly two dates, side by side.",Draw: a group of three to five dates.
190,रस,अकारान्त पुं,juice / juices,rasa,,,,,Draw: one juice.,"Draw: exactly two juices, side by side.",Draw: a group of three to five juices.
191,कषाय,अकारान्त पुं,decoction / decoctions,kashaaya,,,,,Draw: one decoction.,"Draw: exactly two decoctions, side by side.",Draw: a group of three to five decoctions.
192,स्नेह,अकारान्त पुं,affection,sneha,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests affection.,,
193,शोक,अकारान्त पुं,grief,shoka,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests grief.,,
194,हर्ष,अकारान्त पुं,joy,harsha,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests joy.,,
195,लोभ,अकारान्त पुं,greed,lobha,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests greed.,,
196,मोह,अकारान्त पुं,delusion,moha,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests delusion.,,
197,गर्व,अकारान्त पुं,pride,garva,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests pride.,,
198,उत्साह,अकारान्त पुं,enthusiasm,utsaaha,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests enthusiasm.,,
199,विश्वास,अकारान्त पुं,trust,vishvaasa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests trust.,,
200,संशय,अकारान्त पुं,doubt / doubts,samshaya,,,,hard to picture: optional,Draw: a simple picture that suggests doubt.,"Draw: exactly two doubts, side by side.",Draw: a group of three to five doubts.
201,प्रश्न,अकारान्त पुं,question / questions,prashna,,,,hard to picture: optional,Draw: a simple picture that suggests question.,"Draw: exactly two questions, side by side.",Draw: a group of three to five questions.
202,उपाय,अकारान्त पुं,means / means,upaaya,,,,hard to picture: optional,Draw: a simple picture that suggests means.,"Draw: exactly two means, side by side.",Draw: a group of three to five means.
203,आरम्भ,अकारान्त पुं,beginning / beginnings,aarambha,,,,hard to picture: optional,Draw: a simple picture that suggests beginning.,"Draw: exactly two beginnings, side by side.",Draw: a group of three to five beginnings.
204,समय,अकारान्त पुं,time / times,samaya,,,,hard to picture: optional,Draw: a simple picture that suggests time.,"Draw: exactly two times, side by side.",Draw: a group of three to five times.
205,काल,अकारान्त पुं,time,kaala,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests time.,,
206,मास,अकारान्त पुं,month / months,maasa,,,,hard to picture: optional,Draw: a simple picture that suggests month.,"Draw: exactly two months, side by side.",Draw: a group of three to five months.
207,पक्ष,अकारान्त पुं,fortnight / fortnights,paksha,,,,hard to picture: optional,Draw: a simple picture that suggests fortnight.,"Draw: exactly two fortnights, side by side.",Draw: a group of three to five fortnights.
208,ग्रीष्म,अकारान्त पुं,summer,griishma,,n/a,n/a,singular only; hard to picture: optional,Draw: a simple picture that suggests summer.,,
209,हेमन्त,अकारान्त पुं,winter,hemanta,,n/a,n/a,singular only; hard to picture: optional,Draw: a simple picture that suggests winter.,,
210,समारोह,अकारान्त पुं,ceremony / ceremonies,samaaroha,,,,hard to picture: optional,Draw: a simple picture that suggests ceremony.,"Draw: exactly two ceremonies, side by side.",Draw: a group of three to five ceremonies.
211,जन्मदिवस,अकारान्त पुं,birthday / birthdays,janmadivasa,,,,hard to picture: optional,Draw: a simple picture that suggests birthday.,"Draw: exactly two birthdays, side by side.",Draw: a group of three to five birthdays.
212,केश,अकारान्त पुं,hair / hairs,kesha,,,,,Draw: one hair.,"Draw: exactly two hairs, side by side.",Draw: a group of three to five hairs.
213,स्कन्ध,अकारान्त पुं,shoulder / shoulders,skandha,,,,,Draw: one shoulder.,"Draw: exactly two shoulders, side by side.",Draw: a group of three to five shoulders.
214,कण्ठ,अकारान्त पुं,throat / throats,kantha,,,,,Draw: one throat.,"Draw: exactly two throats, side by side.",Draw: a group of three to five throats.
215,ओष्ठ,अकारान्त पुं,lip / lips,oshtha,,,,,Draw: one lip.,"Draw: exactly two lips, side by side.",Draw: a group of three to five lips.
216,अङ्गुष्ठ,अकारान्त पुं,thumb / thumbs,anggushtha,,,,,Draw: one thumb.,"Draw: exactly two thumbs, side by side.",Draw: a group of three to five thumbs.
217,कुम्भ,अकारान्त पुं,pot / pots,kumbha,,,,,Draw: one pot.,"Draw: exactly two pots, side by side.",Draw: a group of three to five pots.
218,पिटक,अकारान्त पुं,basket / baskets,pitaka,,,,,Draw: one basket.,"Draw: exactly two baskets, side by side.",Draw: a group of three to five baskets.
219,खड्ग,अकारान्त पुं,sword / swords,khadga,,,,,Draw: one sword.,"Draw: exactly two swords, side by side.",Draw: a group of three to five swords.
220,बाण,अकारान्त पुं,arrow / arrows,baana,,,,,Draw: one arrow.,"Draw: exactly two arrows, side by side.",Draw: a group of three to five arrows.
221,मुद्गर,अकारान्त पुं,club / clubs,mudgara,,,,,Draw: one club.,"Draw: exactly two clubs, side by side.",Draw: a group of three to five clubs.
222,कोश,अकारान्त पुं,treasury / treasuries,kosha,,,,,Draw: one treasury.,"Draw: exactly two treasuries, side by side.",Draw: a group of three to five treasuries.
223,हार,अकारान्त पुं,necklace / necklaces,haara,,,,,Draw: one necklace.,"Draw: exactly two necklaces, side by side.",Draw: a group of three to five necklaces.
224,कटक,अकारान्त पुं,bracelet / bracelets,kataka,,,,,Draw: one bracelet.,"Draw: exactly two bracelets, side by side.",Draw: a group of three to five bracelets.
225,शकट,अकारान्त पुं,cart / carts,shakata,,,,,Draw: one cart.,"Draw: exactly two carts, side by side.",Draw: a group of three to five carts.
226,प्लव,अकारान्त पुं,boat / boats,plava,,,,,Draw: one boat.,"Draw: exactly two boats, side by side.",Draw: a group of three to five boats.
227,मृदङ्ग,अकारान्त पुं,drum / drums,mridangga,,,,,Draw: one drum.,"Draw: exactly two drums, side by side.",Draw: a group of three to five drums.
228,स्वर,अकारान्त पुं,note / notes,svara,,,,,Draw: one note.,"Draw: exactly two notes, side by side.",Draw: a group of three to five notes.
229,नाद,अकारान्त पुं,sound / sounds,naada,,,,,Draw: one sound.,"Draw: exactly two sounds, side by side.",Draw: a group of three to five sounds.
230,राग,अकारान्त पुं,raga / ragas,raaga,,,,hard to picture: optional,Draw: a simple picture that suggests raga.,"Draw: exactly two ragas, side by side.",Draw: a group of three to five ragas.
231,समूह,अकारान्त पुं,group / groups,samuuha,,,,hard to picture: optional,Draw: a simple picture that suggests group.,"Draw: exactly two groups, side by side.",Draw: a group of three to five groups.
232,गण,अकारान्त पुं,troop / troops,gana,,,,hard to picture: optional,Draw: a simple picture that suggests troop.,"Draw: exactly two troops, side by side.",Draw: a group of three to five troops.
233,सङ्घ,अकारान्त पुं,assembly / assemblies,sanggha,,,,hard to picture: optional,Draw: a simple picture that suggests assembly.,"Draw: exactly two assemblies, side by side.",Draw: a group of three to five assemblies.
234,बालिका,आकारान्त स्त्री,girl / girls,baalikaa,,,,,Draw: one girl.,"Draw: exactly two girls, side by side.",Draw: a group of three to five girls.
235,छात्रा,आकारान्त स्त्री,student / students,chaatraa,,,,,Draw: one student.,"Draw: exactly two students, side by side.",Draw: a group of three to five students.
236,शिष्या,आकारान्त स्त्री,disciple / disciples,shishyaa,,,,,Draw: one disciple.,"Draw: exactly two disciples, side by side.",Draw: a group of three to five disciples.
237,शिक्षिका,आकारान्त स्त्री,teacher / teachers,shikshikaa,,,,,Draw: one teacher.,"Draw: exactly two teachers, side by side.",Draw: a group of three to five teachers.
238,अध्यापिका,आकारान्त स्त्री,teacher / teachers,adhyaapikaa,,,,,Draw: one teacher.,"Draw: exactly two teachers, side by side.",Draw: a group of three to five teachers.
239,गायिका,आकारान्त स्त्री,singer / singers,gaayikaa,,,,,Draw: one singer.,"Draw: exactly two singers, side by side.",Draw: a group of three to five singers.
240,लेखिका,आकारान्त स्त्री,writer / writers,lekhikaa,,,,,Draw: one writer.,"Draw: exactly two writers, side by side.",Draw: a group of three to five writers.
241,सेविका,आकारान्त स्त्री,helper / helpers,sevikaa,,,,,Draw: one helper.,"Draw: exactly two helpers, side by side.",Draw: a group of three to five helpers.
242,कन्या,आकारान्त स्त्री,young girl / young girls,kanyaa,,,,,Draw: one young girl.,"Draw: exactly two young girls, side by side.",Draw: a group of three to five young girls.
243,सीता,आकारान्त स्त्री,Sita,siitaa,,n/a,n/a,"a name: optional, one picture only",Draw: Sita.,,
244,राधा,आकारान्त स्त्री,Radha,raadhaa,,n/a,n/a,"a name: optional, one picture only",Draw: Radha.,,
245,रमा,आकारान्त स्त्री,Ramā,ramaa,,n/a,n/a,"a name: optional, one picture only",Draw: Ramā.,,
246,उमा,आकारान्त स्त्री,Uma,umaa,,n/a,n/a,"a name: optional, one picture only",Draw: Uma.,,
247,दुर्गा,आकारान्त स्त्री,Durga,durgaa,,n/a,n/a,"a name: optional, one picture only",Draw: Durga.,,
248,गङ्गा,आकारान्त स्त्री,the Ganga,ganggaa,,n/a,n/a,"a name: optional, one picture only",Draw: Ganga.,,
249,यमुना,आकारान्त स्त्री,the Yamuna,yamunaa,,n/a,n/a,"a name: optional, one picture only",Draw: Yamuna.,,
250,अयोध्या,आकारान्त स्त्री,Ayodhya,ayodhyaa,,n/a,n/a,"a name: optional, one picture only",Draw: Ayodhya.,,
251,मथुरा,आकारान्त स्त्री,Mathura,mathuraa,,n/a,n/a,"a name: optional, one picture only",Draw: Mathura.,,
252,लङ्का,आकारान्त स्त्री,Lanka,langkaa,,n/a,n/a,"a name: optional, one picture only",Draw: Lanka.,,
253,लता,आकारान्त स्त्री,creeper / creepers,lataa,,,,,Draw: one creeper.,"Draw: exactly two creepers, side by side.",Draw: a group of three to five creepers.
254,शाखा,आकारान्त स्त्री,branch / branches,shaakhaa,,,,,Draw: one branch.,"Draw: exactly two branches, side by side.",Draw: a group of three to five branches.
255,माला,आकारान्त स्त्री,garland / garlands,maalaa,,,,,Draw: one garland.,"Draw: exactly two garlands, side by side.",Draw: a group of three to five garlands.
256,पाठशाला,आकारान्त स्त्री,school / schools,paathashaalaa,,,,,Draw: one school.,"Draw: exactly two schools, side by side.",Draw: a group of three to five schools.
257,पाकशाला,आकारान्त स्त्री,kitchen / kitchens,paakashaalaa,,,,,Draw: one kitchen.,"Draw: exactly two kitchens, side by side.",Draw: a group of three to five kitchens.
258,कक्षा,आकारान्त स्त्री,classroom / classrooms,kakshaa,,,,,Draw: one classroom.,"Draw: exactly two classrooms, side by side.",Draw: a group of three to five classrooms.
259,वाटिका,आकारान्त स्त्री,garden / gardens,vaatikaa,,,,,Draw: one garden.,"Draw: exactly two gardens, side by side.",Draw: a group of three to five gardens.
260,गुहा,आकारान्त स्त्री,cave / caves,guhaa,,,,,Draw: one cave.,"Draw: exactly two caves, side by side.",Draw: a group of three to five caves.
261,नासिका,आकारान्त स्त्री,nose / noses,naasikaa,,,,,Draw: one nose.,"Draw: exactly two noses, side by side.",Draw: a group of three to five noses.
262,जिह्वा,आकारान्त स्त्री,tongue / tongues,jihvaa,,,,,Draw: one tongue.,"Draw: exactly two tongues, side by side.",Draw: a group of three to five tongues.
263,ग्रीवा,आकारान्त स्त्री,neck / necks,griivaa,,,,,Draw: one neck.,"Draw: exactly two necks, side by side.",Draw: a group of three to five necks.
264,पुस्तिका,आकारान्त स्त्री,notebook / notebooks,pustikaa,,,,,Draw: one notebook.,"Draw: exactly two notebooks, side by side.",Draw: a group of three to five notebooks.
265,पत्रिका,आकारान्त स्त्री,magazine / magazines,patrikaa,,,,,Draw: one magazine.,"Draw: exactly two magazines, side by side.",Draw: a group of three to five magazines.
266,पेटिका,आकारान्त स्त्री,box / boxes,petikaa,,,,,Draw: one box.,"Draw: exactly two boxes, side by side.",Draw: a group of three to five boxes.
267,कुञ्चिका,आकारान्त स्त्री,key / keys,kunycikaa,,,,,Draw: one key.,"Draw: exactly two keys, side by side.",Draw: a group of three to five keys.
268,घटिका,आकारान्त स्त्री,clock / clocks,ghatikaa,,,,,Draw: one clock.,"Draw: exactly two clocks, side by side.",Draw: a group of three to five clocks.
269,घण्टा,आकारान्त स्त्री,bell / bells,ghantaa,,,,,Draw: one bell.,"Draw: exactly two bells, side by side.",Draw: a group of three to five bells.
270,नौका,आकारान्त स्त्री,boat / boats,naukaa,,,,,Draw: one boat.,"Draw: exactly two boats, side by side.",Draw: a group of three to five boats.
271,शय्या,आकारान्त स्त्री,bed / beds,shayyaa,,,,,Draw: one bed.,"Draw: exactly two beds, side by side.",Draw: a group of three to five beds.
272,दोला,आकारान्त स्त्री,swing / swings,dolaa,,,,,Draw: one swing.,"Draw: exactly two swings, side by side.",Draw: a group of three to five swings.
273,द्विचक्रिका,आकारान्त स्त्री,bicycle / bicycles,dvicakrikaa,,,,,Draw: one bicycle.,"Draw: exactly two bicycles, side by side.",Draw: a group of three to five bicycles.
274,रोटिका,आकारान्त स्त्री,roti / rotis,rotikaa,,,,,Draw: one roti.,"Draw: exactly two rotis, side by side.",Draw: a group of three to five rotis.
275,कथा,आकारान्त स्त्री,story / stories,kathaa,,,,,Draw: one story.,"Draw: exactly two stories, side by side.",Draw: a group of three to five stories.
276,कविता,आकारान्त स्त्री,poem / poems,kavitaa,,,,,Draw: one poem.,"Draw: exactly two poems, side by side.",Draw: a group of three to five poems.
277,भाषा,आकारान्त स्त्री,language / languages,bhaashaa,,,,hard to picture: optional,Draw: a simple picture that suggests language.,"Draw: exactly two languages, side by side.",Draw: a group of three to five languages.
278,वार्ता,आकारान्त स्त्री,news,vaartaa,,n/a,n/a,uncountable: one picture only,Draw: some news.,,
279,विद्या,आकारान्त स्त्री,learning,vidyaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests learning.,,
280,दया,आकारान्त स्त्री,compassion,dayaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests compassion.,,
281,क्षमा,आकारान्त स्त्री,forgiveness,kshamaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests forgiveness.,,
282,पूजा,आकारान्त स्त्री,worship / worships,puujaa,,,,hard to picture: optional,Draw: a simple picture that suggests worship.,"Draw: exactly two worships, side by side.",Draw: a group of three to five worships.
283,प्रार्थना,आकारान्त स्त्री,prayer / prayers,praarthanaa,,,,,Draw: one prayer.,"Draw: exactly two prayers, side by side.",Draw: a group of three to five prayers.
284,परीक्षा,आकारान्त स्त्री,exam / exams,pariikshaa,,,,hard to picture: optional,Draw: a simple picture that suggests exam.,"Draw: exactly two exams, side by side.",Draw: a group of three to five exams.
285,यात्रा,आकारान्त स्त्री,journey / journeys,yaatraa,,,,hard to picture: optional,Draw: a simple picture that suggests journey.,"Draw: exactly two journeys, side by side.",Draw: a group of three to five journeys.
286,क्रीडा,आकारान्त स्त्री,game / games,kriidaa,,,,hard to picture: optional,Draw: a simple picture that suggests game.,"Draw: exactly two games, side by side.",Draw: a group of three to five games.
287,सभा,आकारान्त स्त्री,assembly / assemblies,sabhaa,,,,,Draw: one assembly.,"Draw: exactly two assemblies, side by side.",Draw: a group of three to five assemblies.
288,सेना,आकारान्त स्त्री,army / armies,senaa,,,,hard to picture: optional,Draw: a simple picture that suggests army.,"Draw: exactly two armies, side by side.",Draw: a group of three to five armies.
289,शिला,आकारान्त स्त्री,rock / rocks,shilaa,,,,,Draw: one rock.,"Draw: exactly two rocks, side by side.",Draw: a group of three to five rocks.
290,छाया,आकारान्त स्त्री,shade / shades,chaayaa,,,,hard to picture: optional,Draw: a simple picture that suggests shade.,"Draw: exactly two shades, side by side.",Draw: a group of three to five shades.
291,अजा,आकारान्त स्त्री,goat / goats,ajaa,,,,,Draw: one goat.,"Draw: exactly two goats, side by side.",Draw: a group of three to five goats.
292,चटका,आकारान्त स्त्री,sparrow / sparrows,catakaa,,,,,Draw: one sparrow.,"Draw: exactly two sparrows, side by side.",Draw: a group of three to five sparrows.
293,मक्षिका,आकारान्त स्त्री,fly / flies,makshikaa,,,,,Draw: one fly.,"Draw: exactly two flies, side by side.",Draw: a group of three to five flies.
294,पिपीलिका,आकारान्त स्त्री,ant / ants,pipiilikaa,,,,,Draw: one ant.,"Draw: exactly two ants, side by side.",Draw: a group of three to five ants.
295,वीणा,आकारान्त स्त्री,veena / veenas,viinaa,,,,,Draw: one veena.,"Draw: exactly two veenas, side by side.",Draw: a group of three to five veenas.
296,सन्ध्या,आकारान्त स्त्री,evening / evenings,sandhyaa,,,,hard to picture: optional,Draw: a simple picture that suggests evening.,"Draw: exactly two evenings, side by side.",Draw: a group of three to five evenings.
297,वर्षा,आकारान्त स्त्री,rainy season,varshaa,,n/a,n/a,"a name: optional, one picture only; hard to picture: optional",Draw: rainy season.,,
298,तारा,आकारान्त स्त्री,star / stars,taaraa,,,,,Draw: one star.,"Draw: exactly two stars, side by side.",Draw: a group of three to five stars.
299,मुद्रा,आकारान्त स्त्री,coin / coins,mudraa,,,,,Draw: one coin.,"Draw: exactly two coins, side by side.",Draw: a group of three to five coins.
300,जाया,आकारान्त स्त्री,wife / wives,jaayaa,,,,,Draw: one wife.,"Draw: exactly two wives, side by side.",Draw: a group of three to five wives.
301,भार्या,आकारान्त स्त्री,wife / wives,bhaaryaa,,,,,Draw: one wife.,"Draw: exactly two wives, side by side.",Draw: a group of three to five wives.
302,स्नुषा,आकारान्त स्त्री,daughter-in-law / daughters-in-law,snushaa,,,,,Draw: one daughter-in-law.,"Draw: exactly two daughters-in-law, side by side.",Draw: a group of three to five daughters-in-law.
303,वृद्धा,आकारान्त स्त्री,old woman / old women,vriddhaa,,,,,Draw: one old woman.,"Draw: exactly two old women, side by side.",Draw: a group of three to five old women.
304,पण्डिता,आकारान्त स्त्री,woman scholar / women scholars,panditaa,,,,,Draw: one woman scholar.,"Draw: exactly two women scholars, side by side.",Draw: a group of three to five women scholars.
305,प्रजा,आकारान्त स्त्री,subject / subjects,prajaa,,,,hard to picture: optional,Draw: a simple picture that suggests subject.,"Draw: exactly two subjects, side by side.",Draw: a group of three to five subjects.
306,कोकिला,आकारान्त स्त्री,female cuckoo / female cuckoos,kokilaa,,,,,Draw: one female cuckoo.,"Draw: exactly two female cuckoos, side by side.",Draw: a group of three to five female cuckoos.
307,सारिका,आकारान्त स्त्री,myna / mynas,saarikaa,,,,,Draw: one myna.,"Draw: exactly two mynas, side by side.",Draw: a group of three to five mynas.
308,द्राक्षा,आकारान्त स्त्री,grape / grapes,draakshaa,,,,,Draw: one grape.,"Draw: exactly two grapes, side by side.",Draw: a group of three to five grapes.
309,शर्करा,आकारान्त स्त्री,sugar,sharkaraa,,n/a,n/a,uncountable: one picture only,Draw: some sugar.,,
310,हरिद्रा,आकारान्त स्त्री,turmeric,haridraa,,n/a,n/a,uncountable: one picture only,Draw: some turmeric.,,
311,सुधा,आकारान्त स्त्री,nectar,sudhaa,,n/a,n/a,uncountable: one picture only,Draw: some nectar.,,
312,वेदिका,आकारान्त स्त्री,platform / platforms,vedikaa,,,,,Draw: one platform.,"Draw: exactly two platforms, side by side.",Draw: a group of three to five platforms.
313,मञ्जूषा,आकारान्त स्त्री,box / boxes,manyjuushaa,,,,,Draw: one box.,"Draw: exactly two boxes, side by side.",Draw: a group of three to five boxes.
314,कुण्डिका,आकारान्त स्त्री,small pot / small pots,kundikaa,,,,,Draw: one small pot.,"Draw: exactly two small pots, side by side.",Draw: a group of three to five small pots.
315,थालिका,आकारान्त स्त्री,plate / plates,thaalikaa,,,,,Draw: one plate.,"Draw: exactly two plates, side by side.",Draw: a group of three to five plates.
316,शलाका,आकारान्त स्त्री,rod / rods,shalaakaa,,,,,Draw: one rod.,"Draw: exactly two rods, side by side.",Draw: a group of three to five rods.
317,सूचिका,आकारान्त स्त्री,needle / needles,suucikaa,,,,,Draw: one needle.,"Draw: exactly two needles, side by side.",Draw: a group of three to five needles.
318,तूलिका,आकारान्त स्त्री,brush / brushes,tuulikaa,,,,,Draw: one brush.,"Draw: exactly two brushes, side by side.",Draw: a group of three to five brushes.
319,पञ्जिका,आकारान्त स्त्री,register / registers,panyjikaa,,,,,Draw: one register.,"Draw: exactly two registers, side by side.",Draw: a group of three to five registers.
320,प्रतिमा,आकारान्त स्त्री,image / images,pratimaa,,,,,Draw: one image.,"Draw: exactly two images, side by side.",Draw: a group of three to five images.
321,पताका,आकारान्त स्त्री,flag / flags,pataakaa,,,,,Draw: one flag.,"Draw: exactly two flags, side by side.",Draw: a group of three to five flags.
322,मृत्तिका,आकारान्त स्त्री,clay,mrittikaa,,n/a,n/a,uncountable: one picture only,Draw: some clay.,,
323,शिबिका,आकारान्त स्त्री,palanquin / palanquins,shibikaa,,,,,Draw: one palanquin.,"Draw: exactly two palanquins, side by side.",Draw: a group of three to five palanquins.
324,शाला,आकारान्त स्त्री,hall / halls,shaalaa,,,,,Draw: one hall.,"Draw: exactly two halls, side by side.",Draw: a group of three to five halls.
325,गोशाला,आकारान्त स्त्री,cowshed / cowsheds,goshaalaa,,,,,Draw: one cowshed.,"Draw: exactly two cowsheds, side by side.",Draw: a group of three to five cowsheds.
326,नाट्यशाला,आकारान्त स्त्री,theatre / theatres,naatyashaalaa,,,,,Draw: one theatre.,"Draw: exactly two theatres, side by side.",Draw: a group of three to five theatres.
327,कन्दरा,आकारान्त स्त्री,cave / caves,kandaraa,,,,,Draw: one cave.,"Draw: exactly two caves, side by side.",Draw: a group of three to five caves.
328,कुल्या,आकारान्त स्त्री,canal / canals,kulyaa,,,,,Draw: one canal.,"Draw: exactly two canals, side by side.",Draw: a group of three to five canals.
329,वसुधा,आकारान्त स्त्री,earth,vasudhaa,,n/a,n/a,singular only,Draw: one earth.,,
330,उषा,आकारान्त स्त्री,dawn,ushaa,,n/a,n/a,singular only; hard to picture: optional,Draw: a simple picture that suggests dawn.,,
331,निशा,आकारान्त स्त्री,night / nights,nishaa,,,,hard to picture: optional,Draw: a simple picture that suggests night.,"Draw: exactly two nights, side by side.",Draw: a group of three to five nights.
332,सीमा,आकारान्त स्त्री,boundary / boundaries,siimaa,,,,hard to picture: optional,Draw: a simple picture that suggests boundary.,"Draw: exactly two boundaries, side by side.",Draw: a group of three to five boundaries.
333,दिशा,आकारान्त स्त्री,direction / directions,dishaa,,,,hard to picture: optional,Draw: a simple picture that suggests direction.,"Draw: exactly two directions, side by side.",Draw: a group of three to five directions.
334,शोभा,आकारान्त स्त्री,beauty,shobhaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests beauty.,,
335,निद्रा,आकारान्त स्त्री,sleep,nidraa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests sleep.,,
336,चिन्ता,आकारान्त स्त्री,worry,cintaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests worry.,,
337,इच्छा,आकारान्त स्त्री,wish / wishes,icchaa,,,,hard to picture: optional,Draw: a simple picture that suggests wish.,"Draw: exactly two wishes, side by side.",Draw: a group of three to five wishes.
338,आशा,आकारान्त स्त्री,hope / hopes,aashaa,,,,hard to picture: optional,Draw: a simple picture that suggests hope.,"Draw: exactly two hopes, side by side.",Draw: a group of three to five hopes.
339,श्रद्धा,आकारान्त स्त्री,faith,shraddhaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests faith.,,
340,कृपा,आकारान्त स्त्री,grace,kripaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests grace.,,
341,व्यथा,आकारान्त स्त्री,pain,vyathaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests pain.,,
342,कल्पना,आकारान्त स्त्री,imagination,kalpanaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests imagination.,,
343,सूचना,आकारान्त स्त्री,information,suucanaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests information.,,
344,शिक्षा,आकारान्त स्त्री,education,shikshaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests education.,,
345,कला,आकारान्त स्त्री,art / arts,kalaa,,,,hard to picture: optional,Draw: a simple picture that suggests art.,"Draw: exactly two arts, side by side.",Draw: a group of three to five arts.
346,सेवा,आकारान्त स्त्री,service,sevaa,,n/a,n/a,uncountable: one picture only; hard to picture: optional,Draw: a simple picture that suggests service.,,
347,रचना,आकारान्त स्त्री,composition / compositions,racanaa,,,,hard to picture: optional,Draw: a simple picture that suggests composition.,"Draw: exactly two compositions, side by side.",Draw: a group of three to five compositions.
348,घोषणा,आकारान्त स्त्री,announcement / announcements,ghoshanaa,,,,,Draw: one announcement.,"Draw: exactly two announcements, side by side.",Draw: a group of three to five announcements.
349,गाथा,आकारान्त स्त्री,ballad / ballads,gaathaa,,,,,Draw: one ballad.,"Draw: exactly two ballads, side by side.",Draw: a group of three to five ballads.
350,ऋचा,आकारान्त स्त्री,verse / verses,ricaa,,,,,Draw: one verse.,"Draw: exactly two verses, side by side.",Draw: a group of three to five verses.
351,टीका,आकारान्त स्त्री,commentary / commentaries,tiikaa,,,,,Draw: one commentary.,"Draw: exactly two commentaries, side by side.",Draw: a group of three to five commentaries.
352,संहिता,आकारान्त स्त्री,collection / collections,samhitaa,,,,,Draw: one collection.,"Draw: exactly two collections, side by side.",Draw: a group of three to five collections.
353,घटना,आकारान्त स्त्री,event / events,ghatanaa,,,,hard to picture: optional,Draw: a simple picture that suggests event.,"Draw: exactly two events, side by side.",Draw: a group of three to five events.
354,जटा,आकारान्त स्त्री,matted hair,jataa,,n/a,n/a,uncountable: one picture only,Draw: some matted hair.,,
355,शिखा,आकारान्त स्त्री,crest / crests,shikhaa,,,,,Draw: one crest.,"Draw: exactly two crests, side by side.",Draw: a group of three to five crests.
356,नदी,ईकारान्त स्त्री,river / rivers,nadii,,,,,Draw: one river.,"Draw: exactly two rivers, side by side.",Draw: a group of three to five rivers.
357,नगरी,ईकारान्त स्त्री,city / cities,nagarii,,,,,Draw: one city.,"Draw: exactly two cities, side by side.",Draw: a group of three to five cities.
358,पृथ्वी,ईकारान्त स्त्री,the earth,prithvii,,n/a,n/a,"a name: optional, one picture only; hard to picture: optional",Draw: earth.,,
359,देवी,ईकारान्त स्त्री,goddess / goddesses,devii,,,,,Draw: one goddess.,"Draw: exactly two goddesses, side by side.",Draw: a group of three to five goddesses.
360,गौरी,ईकारान्त स्त्री,Gauri,gaurii,,n/a,n/a,"a name: optional, one picture only",Draw: Gauri.,,
361,पार्वती,ईकारान्त स्त्री,Parvati,paarvatii,,n/a,n/a,"a name: optional, one picture only",Draw: Parvati.,,
362,सरस्वती,ईकारान्त स्त्री,Sarasvati,sarasvatii,,n/a,n/a,"a name: optional, one picture only",Draw: Sarasvati.,,
363,जानकी,ईकारान्त स्त्री,Janaki,jaanakii,,n/a,n/a,"a name: optional, one picture only",Draw: Janaki.,,
364,काशी,ईकारान्त स्त्री,Kashi,kaashii,,n/a,n/a,"a name: optional, one picture only",Draw: Kashi.,,
365,गोदावरी,ईकारान्त स्त्री,the Godavari,godaavarii,,n/a,n/a,"a name: optional, one picture only",Draw: Godavari.,,
366,कावेरी,ईकारान्त स्त्री,the Kaveri,kaaverii,,n/a,n/a,"a name: optional, one picture only",Draw: Kaveri.,,
